MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
Check Point,2017.0,"Action, Thriller, War",0.23863636363636365,"Port City North Carolina: During a routine camp out, a local vagrant, a former marine discovers plans for an invasion in America. When he tries to notify the local Sheriff about his ...                See full summary »","Director: Thomas J. Churchill |      Stars: Kenny Johnson,  Tyler Mane,  William Forsythe,  Michelle Lee",0.0005808445070498179,0.5000260430230747,0.012192218408364914,4,3
La sombra de la ley,2018.0,"Action, Adventure, Crime",0.5909090909090908,In 1921 a tough cop is sent from Madrid to Barcelona to locate stolen military weaponry.,"Director: Dani de la Torre |      Stars: Luis Tosar,  Michelle Jenner,  Vicente Romero,  Manolo Solo",0.0020630195858432725,0.6510755768529619,0.012192218408364914,4,3
Dragon Quest: Your Story,2019.0,"Animation, Adventure, Family",0.6249999999999999,Based on the fifth Dragon Quest game.,"Director: Takashi Yamazaki |      Stars: Kasumi Arimura,  Steve Blum,  Shaun Conde,  Jacob Craner",0.00148042378882245,0.5312776707120169,0.012192218408364914,4,3
Musarañas,2014.0,"Drama, Horror, Thriller",0.6363636363636364,1950s Madrid: The agoraphobic Montse raised her now 18 y.o. kid sister. The upstairs neighbor falls down the stairs and breaks a leg. The crazy Montse takes him in.,"Directors: Juanfer Andrés,  Esteban Roel |      Stars: Macarena Gómez,  Nadia de Santiago,  Hugo Silva,  Luis Tosar",0.0038487515929441695,0.46877441533413255,0.012192218408364914,5,3
Joseonroko Nokdujeon,2019.0,"Action, Comedy, History",0.7727272727272727,"Jeon Nok Du is a man with extraordinary ambition to experience the big, wide world. With looks, brains, and athletic abilities, he is the epitome of perfection. After being swept up in an ...                See full summary »","Stars: Dong-Yoon Jang,  Kim So-Hyun,  Tae-oh Kang,  Jun-ho Jeong",0.0004827722686735672,0.15104953382988714,0.012192218408364914,4,3
Use for My Talent,2021.0,"Comedy, Drama, Romance",0.6818181818181818,"Gu Ren Qi has a closed up personality and mysophobia. Shuang lost her mother in a car accident, and became a lonely person. The two became closer as they get to know each other, later they began to heal from their wounds.","Stars: Su Meng Di,  Dai Yun Fan,  Charles Lin,  Jasper Liu",5.7208805719479544e-05,0.22917860305224258,0.012192218408364914,4,3
Trailer Park Boys: Out of the Park,2016.0,"Adventure, Comedy, Crime",0.6363636363636364,"Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party.","Stars: John Paul Tremblay,  Robb Wells,  Mike Smith,  Tom Mayhue",0.0012486697493261912,0.15104953382988714,0.012192218408364914,4,3
Beat Bugs,2016.0,"Animation, Short, Adventure",0.7386363636363635,"Beat Bugs is an animated series, revolving around the lives and adventures of five charming and funny child-like bugs who live in an overgrown American-style backyard.","Stars: Charles Demers,  Rebecca Husain,  Lili Beaudoin,  Ashleigh Ball",0.00028370897530272506,0.11979790614094499,0.012192218408364914,4,3
Find Me in Your Memory,2020.0,"Fantasy, Mystery, Romance",0.7159090909090909,A love story between a man who remembers every second of his life and a woman who forgot her painful past.,"Stars: Dong-wook Kim,  Moon Ga-young,  Seul-gi Kim,  Jong-Hoon Yoon",0.00028429273862639324,0.17709255690400563,0.012192218408364914,4,3
Naesungjukin Boseu,2017.0,"Comedy, Drama, Romance",0.7045454545454545,"Eun Hwan-Ki is the CEO of a public relation company but he's extremely shy. Due to his personality, his employees don't know him well. Chae Ro-Woon begins work at Hwan-Ki's company. She's ...                See full summary »","Stars: Gong Seung-Yeon,  Woo-jin Yeon,  Bak Yoon,  Jun Hyo-Seong",0.0007501358709135838,0.35939371842283496,0.012192218408364914,4,3
